time(ms),accX(G),accY(G),accZ(G)
1.071,0.91602,-0.05762,0.06519
1.994,0.87866,-0.10986,0.09131
2.913,0.90234,-0.12915,0.09766
3.832,0.95142,-0.07861,0.08252
4.751,1.07544,-0.02344,0.11963
5.67,1.14746,-0.03516,0.22925
6.589,1.08691,-0.05444,0.35986
7.508,1.08691,-0.05444,0.35986
8.427,1.03931,-0.03027,0.46655
9.353,1.06592,0.00195,0.49902
10.272,1.18823,0.05811,0.48096
11.191,1.29761,0.17773,0.44873
12.11,1.22632,0.33545,0.4646
13.029,1.04248,0.34424,0.42407
13.948,1.05786,0.43042,0.27344
14.867,1.09912,0.58325,0.12109
15.786,0.97729,0.5542,0.05713
16.708,0.88843,0.4707,0.06543
17.626,0.86182,0.37866,-0.01001
18.545,0.71924,0.35864,-0.09888
19.466,0.71924,0.35864,-0.09888
20.385,0.61084,0.30835,-0.19116
21.304,0.65894,0.31274,-0.17651
22.223,0.77539,0.36157,-0.09009
23.142,0.94043,0.26929,-0.01172
24.061,0.93506,0.09473,0.03101
24.979,0.8125,-0.08838,-0.01807
25.898,0.75854,-0.18311,-0.09448
26.818,0.823,-0.08716,-0.08936
27.737,1.98431,0.10034,-0.28296
28.655,1.98431,0.10498,-0.37915
29.568,1.021,0.02197,0.00757
30.494,0.31689,0.02222,0.25049
31.412,0.31689,0.02222,0.25049
32.331,0.4165,-0.03711,0.2417
33.254,1.07422,-0.05908,0.0459
34.173,1.92578,-0.0752,-0.34766
35.091,1.86401,-0.16333,-0.19897
36.01,1.95508,-0.16748,0.14966
36.929,1.85059,-0.28711,0.1792
37.848,0.99292,-0.35645,0.29663
38.767,0.85669,-0.24048,0.26855
39.691,1.01318,-0.23535,0.18677
40.609,0.85059,-0.25806,0.27148
41.528,0.63623,-0.18823,0.31714
42.454,0.78491,-0.18579,0.41162
43.373,0.72192,-0.27197,0.34595
44.291,0.72192,-0.27197,0.34595
45.21,0.00293,-0.22632,0.33301
46.129,0.41309,-0.14819,0.37256
47.051,0.98145,-0.28662,0.09302
47.97,0.78271,-0.5249,-0.16431
48.889,0.54663,-0.68237,-0.23145
49.808,0.4126,-0.78564,-0.01904
50.73,1.14062,-0.78296,0.27759
51.649,1.29199,-0.70044,0.42163
52.568,1.05249,-0.60083,0.40356
53.494,0.99487,-0.52026,0.39917
54.413,1.05518,-0.46802,0.40967
55.331,1.40845,-0.35327,0.35278
56.254,1.40845,-0.35327,0.35278
57.173,1.05396,-0.28296,0.22217
58.091,0.98047,-0.23022,0.21558
59.01,1.25635,-0.1853,0.34497
59.929,0.62109,-0.2146,0.45605
60.848,0.86646,-0.16016,0.54492
61.767,1.0061,-0.14673,0.55518
62.691,0.84619,-0.16772,0.61328
63.609,0.75439,-0.14429,0.66187
64.528,0.84888,-0.0791,0.604
65.454,0.9646,-0.08105,0.64038
66.373,0.99731,-0.08252,0.66431
67.291,0.85303,-0.06616,0.64893
68.21,0.85303,-0.06616,0.64893
69.129,0.80884,-0.09741,0.66553
70.051,1.16187,-0.125,0.63257
70.97,0.79517,-0.18286,0.63477
71.889,0.68188,-0.1687,0.66357
72.808,0.7229,-0.16846,0.65308
73.73,1.35083,-0.1521,0.64526
74.649,1.40015,-0.17749,0.64795
75.568,0.60034,-0.2251,0.63232
76.494,0.88843,-0.18994,0.60864
77.413,1.22046,-0.17065,0.61694
78.331,0.86304,-0.1853,0.61987
79.254,0.771,-0.18188,0.59399
80.173,0.77954,-0.18286,0.56885
81.091,0.77954,-0.18286,0.56885
82.01,0.72437,-0.18091,0.53125
82.929,0.82324,-0.16235,0.49536
83.848,0.91992,-0.16431,0.47168
84.767,1.13818,-0.15674,0.45923
85.691,1.31445,-0.13574,0.44482
86.609,1.20557,-0.13477,0.42236
87.528,1.10791,-0.14185,0.40723
88.454,1.15649,-0.14722,0.39551
89.373,1.20239,-0.14038,0.38159
90.291,1.24829,-0.12646,0.36426
91.21,1.26904,-0.13086,0.34595
92.129,1.27759,-0.14478,0.34595
93.051,1.27759,-0.14478,0.34595
93.97,1.28125,-0.15405,0.35474
94.889,1.29565,-0.15625,0.354
95.808,1.30884,-0.16309,0.35645
96.73,1.30322,-0.16943,0.35596
97.649,1.29199,-0.17358,0.35156
98.568,1.27563,-0.17554,0.35474
99.494,1.25488,-0.17944,0.35742
100.413,1.22607,-0.18872,0.36475
101.331,1.20483,-0.18726,0.35034
102.254,1.1875,-0.19067,0.33521
