time(ms),accX(G),accY(G),accZ(G)
151.01,0.9873,-0.01074,0.05054
151.929,0.99561,-0.01025,0.06177
152.848,0.9917,-0.01099,0.06274
153.767,0.98315,-0.00293,0.052
154.691,0.98047,0.00562,0.06543
155.609,0.97095,0.0105,0.07935
156.528,0.9585,0.01953,0.07642
157.454,0.96802,0.0127,0.07397
158.373,0.9812,0.00244,0.06885
159.291,0.99243,-0.00049,0.05933
160.21,0.99243,-0.00049,0.05933
161.129,0.99756,-0.00073,0.05103
162.051,0.9834,-0.00098,0.04736
162.97,0.97192,-0.00391,0.05469
163.889,0.98657,0.00195,0.06714
164.808,0.99463,-0.00024,0.0708
165.73,0.99341,-0.00269,0.06616
166.649,0.9939,-0.00293,0.05933
167.568,0.98267,-0.01025,0.06274
168.494,0.97534,-0.00391,0.06445
169.413,0.97925,0.00635,0.0625
170.331,0.98608,0.00439,0.06445
171.254,0.98218,0.00122,0.06396
172.173,0.98218,0.00122,0.06396
173.091,0.97852,0.00781,0.06104
174.01,0.97656,0.00537,0.05908
174.929,0.97119,0.00342,0.05566
175.848,0.98291,0.00293,0.05347
176.767,0.99365,-0.00806,0.05078
177.691,0.99658,-0.01099,0.05762
178.609,0.99414,-0.01001,0.07202
179.528,0.98047,-0.00806,0.07715
180.454,0.97559,-0.00659,0.073
181.373,0.98096,0.00366,0.06738
182.291,0.98438,0.00317,0.06885
183.21,0.98511,-0.00464,0.07275
184.129,0.98511,-0.00464,0.07275
185.051,0.98608,0.00244,0.07202
185.97,0.98291,-0.00317,0.06494
186.889,0.97876,0.00049,0.05933
187.808,0.97534,0.00854,0.05542
188.73,0.98096,0.00049,0.05737
189.649,0.99512,-0.00488,0.0564
190.568,1.00122,-0.00342,0.05225
191.494,0.99194,-0.00098,0.05542
192.413,0.97607,0.00562,0.05908
193.331,0.98169,0.00269,0.0647
194.254,0.9834,-0.00903,0.06934
195.173,0.97607,-0.00928,0.07275
196.091,0.98389,-0.00122,0.06689
197.01,0.98389,-0.00122,0.06689
197.929,0.97461,0.00317,0.06274
198.848,0.95557,0.00293,0.06421
199.767,0.97437,0.00464,0.05835
200.691,0.98828,0.00195,0.05298
201.609,0.97729,-0.00391,0.04883
202.528,0.99097,-0.01074,0.04834
203.454,0.99951,-0.00537,0.05225
204.373,0.98193,-0.00269,0.06519
205.291,0.97583,-0.00391,0.07202
206.21,0.98779,-0.00146,0.06372
207.129,0.98901,-0.00342,0.07056
208.051,0.98022,0.00366,0.07983
208.97,0.98022,0.00366,0.07983
209.889,0.9873,0.00513,0.06934
210.808,0.98682,-0.00269,0.06763
211.73,0.98047,-0.0061,0.07178
212.649,0.98242,-0.00366,0.06567
213.568,0.97217,0.00757,0.05933
214.494,0.97217,0.01392,0.05859
215.413,0.98926,0.00122,0.05762
216.331,0.99365,-0.01025,0.05566
217.254,0.99463,-0.0061,0.05249
218.173,0.98926,-0.01074,0.05664
219.091,0.97949,-0.01001,0.06494
220.01,0.97046,-0.00049,0.07104
220.929,0.97046,-0.00049,0.07104
221.848,0.96533,0.0083,0.07764
222.767,0.98413,0.01025,0.07056
223.691,0.99976,-0.00488,0.06274
224.609,0.9856,-0.00586,0.0625
225.528,0.97656,0.00439,0.05493
226.454,0.979,0.00537,0.052
227.373,0.9834,-0.00537,0.05762
228.291,0.99487,-0.00903,0.05322
229.21,1.00244,-0.00586,0.04956
230.129,0.98926,-0.00122,0.06006
231.051,0.96826,0.01099,0.07275
231.97,0.97192,0.0144,0.07666
232.889,0.98267,0.00977,0.07227
233.808,0.98267,0.00977,0.07227
234.73,0.99097,-0.00317,0.06445
235.649,0.99976,-0.01514,0.05713
236.568,0.99487,-0.01318,0.0564
237.494,0.98413,0.00146,0.05273
238.413,0.96655,0.00708,0.05029
239.331,0.95557,0.00684,0.05396
240.254,0.96948,0.00391,0.05786
241.173,0.99902,-0.00732,0.05762
242.091,1.0083,-0.00537,0.05103
243.01,0.9939,-0.00439,0.05176
243.929,0.98169,-0.0083,0.05518
244.848,0.97485,-0.00244,0.05859
245.767,0.97485,-0.00244,0.05859
246.691,0.97485,-0.00024,0.06616
247.609,0.98071,-0.00391,0.07153
248.528,0.98486,-0.0022,0.073
249.454,0.98315,0.00244,0.07349
250.373,0.98169,0.00195,0.06519
251.291,0.97168,-0.00073,0.05786
252.21,0.9729,-0.00342,0.05054
253.129,0.99243,-0.0105,0.05396
254.051,0.9978,-0.00684,0.06274
254.97,0.98364,0.00171,0.06519
